latitude,longitude,volume,year
44.76292,-92.81227,53,2010
44.76354,-92.81198,58,2013
44.76367,-92.81172,56,2014
44.76371,-92.81158,50,2015
44.76591,-92.81118,52,2016
44.76588,-92.81109,50,2017
44.76594,-92.81131,54,2018
44.76409,-92.78903,66,2019
44.76671,-92.81462,75,2013
44.76671,-92.81463,66,2014
44.76671,-92.81464,67,2015
44.76669,-92.81463,68,2016
40.90702,-73.781,73,2017
40.90698,-73.7809,69,2018
41.37179,-71.49315,62,2019
41.89997,-87.6251,51,2010
49.27164,-123.18645,32,2013
-33.85546,18.63645,46,2014
31.5638,-91.55977,46,2015
20.72062,-103.52049,20,2016
39.54895,-104.76807,60,2017
40.82965,-73.94658,76,2018
1.43716,103.83297,56,2019
42.45097,-76.50923,76,2010
33.748,-84.46807,61,2013
41.18796,-81.57961,51,2014
43.02819,-76.13644,44,2015
42.47991,-76.45104,54,2016
9.94951,-84.26211,79,2017
23.09282,-109.71221,58,2018
9.93859,-84.0763,79,2019
53.48677,14.57748,25,2010
43.07271,-76.22096,79,2013
40.86605,-73.92782,80,2014
40.8635,-73.92683,66,2015
-12.06679,-77.15781,64,2016
-12.07102,-77.15994,57,2017
-12.07382,-77.16281,68,2018
-12.07318,-77.1662,71,2019
-12.07243,-77.16479,65,2010
40.41964,-3.69719,72,2013
40.41992,-3.69721,78,2014
40.42,-3.69709,74,2015
40.86346,-73.92688,80,2016
40.82571,-73.92593,77,2017
32.7272,-117.14959,69,2018
39.94713,-82.99504,47,2019
39.46834,-0.35579,44,2010
43.27674,-87.98838,62,2010
40.90287,-75.14276,39,2013
40.90289,-75.14271,38,2014
40.84592,-73.93854,68,2015
40.8458,-73.93782,70,2016
28.62928,-106.02426,73,2017
43.70199,-79.44057,65,2018
40.87064,-73.91837,59,2019
4.64507,-74.05801,49,2017
40.84574,-73.93839,83,2010
-32.99455,27.92562,49,2013
20.98862,-89.73557,65,2014
20.98863,-89.73561,60,2015
33.7427,-84.42406,58,2016
19.08919,74.744,57,2017
27.30054,-112.8814,75,2018
20.98686,-89.69873,78,2019
20.98686,-89.69873,84,2010
40.86654,-73.92857,81,2013
40.86174,-73.9215,68,2014
34.67446,-120.45634,43,2015
20.79634,-88.20162,72,2016
40.86589,-73.92347,76,2017
40.86589,-73.92347,76,2018
5.67784,-0.16739,76,2019
40.86601,-73.92772,72,2010
40.86612,-73.9281,80,2013
40.86781,-73.92669,56,2014
40.86737,-73.92701,69,2015
-12.06745,-77.15831,63,2016
-12.06754,-77.15836,62,2017
-12.07379,-77.1627,59,2018
-12.07381,-77.16155,61,2019
-12.0731,-77.16626,59,2010
-12.07265,-77.16407,58,2013
40.86573,-73.92749,79,2014
22.44977,88.30422,59,2015
7.96056,-74.05235,36,2016
-37.89938,145.03173,34,2017
33.73203,-84.39455,51,2018
35.87783,-78.79389,60,2019
40.86678,-73.9282,82,2010
7.15628,0.4836,45,2013
21.14111,-86.85271,76,2014
21.28764,-89.66357,76,2015
21.28855,-89.65633,67,2016
20.99491,-89.69345,81,2017
20.095,-98.70932,49,2018
20.96362,-89.62555,76,2019
39.05907,-104.70161,61,2010
20.98331,-89.66472,52,2013
20.974,-89.66707,48,2014
20.09498,-98.7093,53,2015
21.14467,-86.8506,46,2016
21.16444,-86.84555,84,2017
33.98307,-84.56927,58,2018
33.98294,-84.56961,68,2019
33.8503,-84.42953,63,2010
33.85032,-84.42953,79,2013
20.98674,-89.6986,77,2014
40.87238,-73.91678,69,2015
40.8726,-73.91784,70,2016
43.12968,-93.23324,56,2017
20.51155,-86.9487,83,2018
29.95841,-90.06573,77,2019
32.53747,-82.92994,52,2010
20.97191,-89.63578,89,2013
33.82988,-85.75823,53,2014
-32.99903,27.90293,53,2015
20.02935,-100.72726,82,2016
40.86605,-73.92782,85,2017
40.86591,-73.92771,84,2018
39.02528,-104.81374,34,2019
-32.999,27.90286,71,2010
29.57012,-98.39276,53,2013
36.82668,-76.41428,78,2014
44.90223,-92.50284,52,2015
46.22151,7.34652,85,2016
32.5418,-82.90279,51,2017
50.74038,-1.82766,31,2018
40.45079,-3.7035,64,2019
40.46093,-3.6986,65,2010
40.45083,-3.70346,67,2013
40.45099,-3.70344,69,2014
40.44957,-3.70351,68,2015
44.14246,28.63227,33,2016
20.18322,-98.71614,61,2017
20.18322,-98.71614,58,2018
20.18322,-98.71614,59,2019
20.18322,-98.71615,65,2010
20.18322,-98.71614,59,2013
10.73655,106.69206,55,2014
40.45092,-3.70348,69,2015
21.16445,-86.84563,51,2016
10.19655,-85.60673,51,2017
10.19212,-85.61268,41,2018
10.18549,-85.61759,49,2019
10.17775,-85.62198,36,2010
10.17144,-85.62457,40,2013
10.16732,-85.62449,41,2014
10.16072,-85.6221,40,2015
10.15672,-85.62735,47,2016
10.14817,-85.6296,41,2017
10.13149,-85.6319,37,2018
10.11465,-85.61062,32,2019
10.32307,-85.41627,51,2013
10.32287,-85.41694,59,2014
40.45439,-3.70318,62,2015
40.45542,-3.70257,61,2016
33.65969,-84.50019,64,2017
20.18254,-98.71713,29,2018
46.00203,4.05935,44,2019
45.73313,4.87188,52,2010
45.73313,4.87188,46,2010
43.02816,-76.13634,57,2013
20.20524,-98.70664,55,2014
40.46608,-3.69104,71,2015
40.46609,-3.69103,73,2016
40.42686,-3.69604,76,2017
-12.0676,-77.15818,62,2018
-12.06754,-77.15841,65,2019
-12.07382,-77.16168,66,2010
-12.07387,-77.16164,68,2013
-12.07366,-77.16248,63,2014
-12.07374,-77.1627,61,2015
-12.07371,-77.1654,53,2016
-12.0727,-77.16407,63,2017
45.73313,4.87188,42,2018
45.73125,4.85121,66,2019
20.20456,-98.71769,35,2019
40.4666,-3.68847,79,2010
-34.80093,-58.38435,57,2013
42.70236,23.29832,39,2014
20.18846,-98.73443,44,2015
20.19854,-98.70477,38,2016
24.74188,46.63628,46,2017
22.44975,88.30432,65,2018
20.21453,-98.73094,50,2019
32.69892,-117.13314,64,2010
32.6989,-117.13315,69,2013
32.69871,-117.13319,66,2014
32.69868,-117.13312,77,2015
32.69866,-117.133,67,2016
32.69893,-117.13315,66,2017
32.69894,-117.13315,66,2018
32.6989,-117.13315,73,2019
32.69895,-117.13315,78,2010
32.69866,-117.133,70,2013
32.69889,-117.13329,67,2014
32.69877,-117.13315,71,2015
32.6991,-117.13372,73,2016
32.69975,-117.13384,65,2017
32.69894,-117.13402,69,2010
32.69966,-117.13297,64,2013
32.69895,-117.13393,70,2014
32.69913,-117.1337,68,2015
32.69915,-117.13366,78,2016
32.69937,-117.1338,83,2017
32.69891,-117.13315,72,2018
32.69892,-117.13325,70,2019
